#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:127 out:128 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:41.03 aq:18.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:41.03 aq:18.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:41.03 aq:18.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:41.03 aq:19.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:148 out:145 type:P dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:146 out:146 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:145 out:147 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:147 out:148 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:41.03 aq:21.37 tex:16045 mv:7068 misc:1111 imb:7135 pmb:15 smb:1010 d:- ref:0 w:0,9,-127 ;
in:151 out:151 type:P dur:2 cpbdur:2 q:41.03 aq:23.74 tex:10742 mv:7275 misc:4319 imb:2110 pmb:231 smb:5819 d:- ref:0 w:4,47,-31 ;
in:152 out:152 type:P dur:2 cpbdur:2 q:41.03 aq:25.03 tex:30428 mv:14109 misc:5415 imb:3367 pmb:573 smb:4220 d:- ref:0 w:6,107,-11 ;
in:153 out:153 type:P dur:2 cpbdur:2 q:41.03 aq:25.25 tex:25037 mv:17100 misc:6279 imb:4234 pmb:572 smb:3354 d:- ref:0 w:5,45,-7 ;
